Candidate,Time,Value
Ben Carson,21:03,-5
Chris Christie,21:03,-3
Donald Trump,21:03,-3
Jeb Bush,21:03,-4
John Kasich,21:03,2
No candidate mentioned,21:03,-4
Ted Cruz,21:03,1
Ben Carson,21:04,-1
Chris Christie,21:04,-1
Donald Trump,21:04,0
Jeb Bush,21:04,-8
No candidate mentioned,21:04,-10
Rand Paul,21:04,-3
Ted Cruz,21:04,0
Ben Carson,21:05,2
Donald Trump,21:05,-2
Jeb Bush,21:06,-6
John Kasich,21:06,-1
Mike Huckabee,21:06,0
No candidate mentioned,21:06,-7
Rand Paul,21:06,0
Scott Walker,21:06,-2
Ted Cruz,21:06,5
Ben Carson,21:07,-2
Chris Christie,21:07,-1
Donald Trump,21:07,-1
Jeb Bush,21:07,-21
John Kasich,21:07,-2
No candidate mentioned,21:07,-13
Rand Paul,21:07,-1
Scott Walker,21:07,-4
Ted Cruz,21:07,1
Ben Carson,21:08,-1
Chris Christie,21:08,2
Donald Trump,21:08,-3
Jeb Bush,21:08,-16
John Kasich,21:08,0
No candidate mentioned,21:08,-13
Scott Walker,21:08,-3
Ted Cruz,21:08,1
Ben Carson,21:09,-1
Chris Christie,21:09,-3
Donald Trump,21:09,0
Jeb Bush,21:09,-14
John Kasich,21:09,-1
Mike Huckabee,21:09,0
No candidate mentioned,21:09,-9
Rand Paul,21:09,1
Scott Walker,21:09,-2
Ted Cruz,21:09,2
Chris Christie,21:10,-11
Donald Trump,21:10,-2
Jeb Bush,21:10,-15
Mike Huckabee,21:10,-1
No candidate mentioned,21:10,-8
Scott Walker,21:10,-1
Ted Cruz,21:10,1
Ben Carson,21:11,-3
Chris Christie,21:11,-3
Donald Trump,21:11,-4
Jeb Bush,21:11,-8
Mike Huckabee,21:11,-6
No candidate mentioned,21:11,-15
Rand Paul,21:11,-1
Ted Cruz,21:11,0
Chris Christie,21:12,-4
Donald Trump,21:12,-7
Jeb Bush,21:12,-9
Mike Huckabee,21:12,-16
No candidate mentioned,21:12,-16
Rand Paul,21:12,-1
Scott Walker,21:12,-1
Ted Cruz,21:12,0
Donald Trump,21:13,-10
Jeb Bush,21:13,-6
Mike Huckabee,21:13,-8
No candidate mentioned,21:13,-14
Ted Cruz,21:13,1
Donald Trump,21:14,-10
Jeb Bush,21:14,-2
Mike Huckabee,21:14,-3
No candidate mentioned,21:14,-14
Chris Christie,21:15,-1
Donald Trump,21:15,-3
Jeb Bush,21:15,-5
Marco Rubio,21:15,-1
Mike Huckabee,21:15,-4
No candidate mentioned,21:15,-11
Scott Walker,21:15,-1
Ted Cruz,21:15,1
Ben Carson,21:16,0
Donald Trump,21:16,1
Jeb Bush,21:16,-2
John Kasich,21:16,-1
Marco Rubio,21:16,-2
Mike Huckabee,21:16,-3
No candidate mentioned,21:16,-9
Scott Walker,21:16,0
Ted Cruz,21:16,-1
Ben Carson,21:17,-2
Donald Trump,21:17,2
Jeb Bush,21:17,-1
Marco Rubio,21:17,1
Mike Huckabee,21:17,-2
No candidate mentioned,21:17,-7
Scott Walker,21:17,-2
Ted Cruz,21:17,-3
Ben Carson,21:18,-2
Chris Christie,21:18,0
Donald Trump,21:18,4
Jeb Bush,21:18,-4
Marco Rubio,21:18,1
Mike Huckabee,21:18,-4
No candidate mentioned,21:18,-15
Rand Paul,21:18,-1
Scott Walker,21:18,-3
Ted Cruz,21:18,-1
Ben Carson,21:19,-2
Chris Christie,21:19,-1
Donald Trump,21:19,1
Jeb Bush,21:19,-3
Mike Huckabee,21:19,-3
No candidate mentioned,21:19,-26
Rand Paul,21:19,-1
Scott Walker,21:19,-3
Ted Cruz,21:19,1
Ben Carson,21:20,-2
Chris Christie,21:20,-1
Donald Trump,21:20,-4
Jeb Bush,21:20,-6
Mike Huckabee,21:20,0
No candidate mentioned,21:20,-18
Rand Paul,21:20,-4
Scott Walker,21:20,-2
Ted Cruz,21:20,-1
Ben Carson,21:21,0
Donald Trump,21:21,2
Jeb Bush,21:21,-6
Mike Huckabee,21:21,-3
No candidate mentioned,21:21,-25
Ted Cruz,21:21,0
Donald Trump,21:22,0
Jeb Bush,21:22,-1
Marco Rubio,21:22,1
Mike Huckabee,21:22,-2
No candidate mentioned,21:22,-19
Scott Walker,21:22,-2
Ted Cruz,21:22,-2
Chris Christie,21:23,-1
Donald Trump,21:23,-11
Jeb Bush,21:23,-2
Mike Huckabee,21:23,-1
No candidate mentioned,21:23,-28
Rand Paul,21:23,-1
Ted Cruz,21:23,1
Chris Christie,21:24,-2
Donald Trump,21:24,-11
Jeb Bush,21:24,-4
Mike Huckabee,21:24,-1
No candidate mentioned,21:24,-16
Scott Walker,21:24,-1
Ted Cruz,21:24,2
Chris Christie,21:25,-1
Donald Trump,21:25,-13
Jeb Bush,21:25,-17
No candidate mentioned,21:25,-18
Scott Walker,21:25,-1
Ted Cruz,21:25,4
Donald Trump,21:26,-14
Jeb Bush,21:26,-9
Marco Rubio,21:26,-1
No candidate mentioned,21:26,-25
Scott Walker,21:26,-1
Ted Cruz,21:26,5
Chris Christie,21:27,-1
Donald Trump,21:27,-2
Jeb Bush,21:27,-11
Marco Rubio,21:27,-5
Mike Huckabee,21:27,-1
No candidate mentioned,21:27,-32
Rand Paul,21:27,-1
Ted Cruz,21:27,1
Donald Trump,21:28,-4
Jeb Bush,21:28,-2
Marco Rubio,21:28,-1
Mike Huckabee,21:28,-2
No candidate mentioned,21:28,-17
Ted Cruz,21:28,4
Donald Trump,21:29,-9
Jeb Bush,21:29,-6
No candidate mentioned,21:29,-20
Rand Paul,21:29,-1
Ted Cruz,21:29,0
Ben Carson,21:30,-1
Chris Christie,21:30,-1
Donald Trump,21:30,-3
