candidate,sentiment,subject_matter,tweet_text,tweet_created
Chris Christie,Neutral,None of the above,RT @Popehat: #GOPDebates Christie: you're putting America at risk with your fourth amendment talk,8/6/15 21:03
Jeb Bush,Negative,None of the above,"RT @MarkDavis: Man, I'm sorry, this has nothing to do w/politics, but #JebBush is totally mediocre here. #GOPDebates",8/6/15 21:03
Donald Trump,Negative,None of the above,RT @ericstonestreet: Trump has Cam hands. #GOPDebates,8/6/15 21:03
Donald Trump,Positive,FOX News or Moderators,RT @RWSurferGirl: FOX News won't admit who the Republican leader is right now I mean @realDonaldTrump only has a double-digit lead ________ #GOPD_ _,8/6/15 21:03
Donald Trump,Negative,FOX News or Moderators,RT @RWSurferGirl: FOX News won't admit who the Republican leader is right now I mean @realDonaldTrump only has a double-digit lead ________ #GOPD_ _,8/6/15 21:03
Chris Christie,Negative,None of the above,Rand Paul is Christie's jealous boyfriend. 'You can go hug him if you want' lol #GOPDebates #FoxDebate #GOPTBT,8/6/15 21:03
No candidate mentioned,Negative,None of the above,"RT @JaxGotJokes: OMG, like, just pretend as if this was supposed to be a way to determine the next leader of a major world power LOL #GOPDe_ _",8/6/15 21:03
Donald Trump,Negative,FOX News or Moderators,"RT @RWSurferGirl: I am wondering what Fox is up to with THIS debate -- get rid of Trump, Paul, Cruz, Carson? ________ #GOPDebates  #GOPDebate",8/6/15 21:03
Ben Carson,Neutral,None of the above,@RealBenCarson calling it like it is. #GOPDebates #NoHillary2016,8/6/15 21:03
Ben Carson,Neutral,None of the above,RT @kwrcrow: #DrBenCarson just said he doubts #HillaryClinton will be nominee. Hope he's right. #GOPDebates,8/6/15 21:03
Donald Trump,Positive,FOX News or Moderators,RT @RWSurferGirl: FOX News won't admit who the Republican leader is right now I mean @realDonaldTrump only has a double-digit lead ________ #GOPD_ _,8/6/15 21:03
No candidate mentioned,Negative,None of the above,Summary of #GOPDebates: big ol circle jerk shitting on the democrats.,8/6/15 21:03
